Sample_ID,IMIC_Sample_ID,Extraction_Sample_ID,Country,Forest_Stand,Plot_ID,Longitude,Latitude,Soil_Horizon,Soil_Horizon_depth_ranges,Soil_depth_horizon_in_cm,C_in_g_per_m_square,N_in_g_per_m_square,CN_ratio_g_per_m_square,empty F50,wet F50,dry F50,ph_stand_ranges,elevation_stand_ranges,slope_stand_ranges,aspect_stand_ranges,mean_annual_precipitation_stand_ranges,mean_annual_temp_stand_ranges,stand_area,mean_height_of_dominant_tree_in_stand,Total_C_in_Mg_per_ha
HOF138,NER_02_02_2,NER_18,Romania,Izvoarele_Nerei ,NER_02_02,22.0742748,45.1090305,2,10_20,20,4083.12,288.41,14.15714286,13.473,31.497,25.732,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,531.487
HOF139,NER_02_02_3,NER_19,Romania,Izvoarele_Nerei ,NER_02_02,22.0742748,45.1090305,3,20_40,40,6515.949791,433.81,15.02040816,13.488,32.164,26.79,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,531.487
HOF140,NER_02_02_4,NER_20,Romania,Izvoarele_Nerei ,NER_02_02,22.0742748,45.1090305,4,40_80,80,3683.23,246.26,14.95652174,13.517,35.702,30.299,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,531.487
HOF141,NER_02_03_FH,NER_21,Romania,Izvoarele_Nerei ,NER_02_03,22.0732241,45.1097631,FH,FH,6,910.75,41.32,22.03883495,13.471,25.071,19.001,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,449.819
HOF142,NER_02_03_1,NER_22,Romania,Izvoarele_Nerei ,NER_02_03,22.0732241,45.1097631,1,0_10,10,3670.08,245.45,14.95238095,13.549,32.857,25.4,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,449.819
HOF143,NER_02_03_2,NER_23,Romania,Izvoarele_Nerei ,NER_02_03,22.0732241,45.1097631,2,10_20,20,4308.62,320.38,13.44827586,13.538,34.258,27.542,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,449.819
HOF144,NER_02_03_3,NER_24,Romania,Izvoarele_Nerei ,NER_02_03,22.0732241,45.1097631,3,20_40,40,5428.162656,376.96,14.4,13.494,34.114,27.993,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,449.819
HOF145,NER_02_03_4,NER_25,Romania,Izvoarele_Nerei ,NER_02_03,22.0732241,45.1097631,4,40_80,80,5039.94,338.6,14.88461538,13.457,36.847,30.822,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,449.819
HOF146,NER_03_01_FH,NER_26,Romania,Izvoarele_Nerei ,NER_03_01,22.0645251,45.0786763,FH,FH,4.87,410.11,20.11,20.39430894,13.422,23.257,17.425,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,367.632
HOF147,NER_03_01_1,NER_27,Romania,Izvoarele_Nerei ,NER_03_01,22.0645251,45.0786763,1,0_10,10,3160.3,206.24,15.32352941,13.483,30.394,23.486,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,367.632
HOF148,NER_03_01_2,NER_28,Romania,Izvoarele_Nerei ,NER_03_01,22.0645251,45.0786763,2,10_20,20,2429.66,153.3,15.8490566,13.478,37.103,29.883,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,367.632
HOF149,NER_03_01_3,NER_29,Romania,Izvoarele_Nerei ,NER_03_01,22.0645251,45.0786763,3,20_40,40,3296.136742,209.62,15.72413793,13.51,39.603,32.68,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,367.632
HOF150,NER_03_01_4,NER_30,Romania,Izvoarele_Nerei ,NER_03_01,22.0645251,45.0786763,4,40_80,80,1372.29,87.41,15.7,13.476,41.316,36.117,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,367.632
HOF151,NER_03_02_FH,NER_31,Romania,Izvoarele_Nerei ,NER_03_02,22.0643071,45.078528,FH,FH,3.82,404.55,18.26,22.15177305,13.449,23.955,18.204,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,383.009
HOF152,NER_03_02_1,NER_32,Romania,Izvoarele_Nerei ,NER_03_02,22.0643071,45.078528,1,0_10,10,4744.14,334.21,14.19512195,13.41,32.183,25.742,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,383.009
HOF153,NER_03_02_2,NER_33,Romania,Izvoarele_Nerei ,NER_03_02,22.0643071,45.078528,2,10_20,20,1893.83,138.72,13.65217391,13.409,36.269,29.993,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,383.009
HOF154,NER_03_02_3,NER_34,Romania,Izvoarele_Nerei ,NER_03_02,22.0643071,45.078528,3,20_40,40,3021.767031,216.78,13.93939394,13.524,36.732,30.676,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,383.009
HOF155,NER_03_02_4,NER_35,Romania,Izvoarele_Nerei ,NER_03_02,22.0643071,45.078528,4,40_80,80,1826.88,126.62,14.42857143,13.543,45.527,39.22,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,383.009
HOF156,NER_03_03_FH,NER_36,Romania,Izvoarele_Nerei ,NER_03_03,22.0635042,45.0785283,FH,FH,5.75,471.69,23.93,19.71193416,13.476,24.178,17.931,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,337.183
HOF157,NER_03_03_1,NER_37,Romania,Izvoarele_Nerei ,NER_03_03,22.0635042,45.0785283,1,0_10,10,2895.42,218.08,13.27710843,13.555,33.724,26.567,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,337.183
HOF158,NER_03_03_2,NER_38,Romania,Izvoarele_Nerei ,NER_03_03,22.0635042,45.0785283,2,10_20,20,2110.2,154.33,13.67346939,13.604,38.054,30.917,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,337.183
HOF159,NER_03_03_3,NER_39,Romania,Izvoarele_Nerei ,NER_03_03,22.0635042,45.0785283,3,20_40,40,3168.053767,233.71,13.55555556,13.372,37.779,31.838,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,337.183
HOF160,NER_03_03_4,NER_40,Romania,Izvoarele_Nerei ,NER_03_03,22.0635042,45.0785283,4,40_80,80,2239.63,164.68,13.6,13.533,44.182,38.425,3.5-5.42,800-1300,May-33,"S-SW, N-NE",950-1200,10-Apr,5260.3,32.6 ± 0.8,337.183
