"","Sample_ID","IMIC_Sample_ID","Extraction_Sample_ID","Country","Forest_Stand","Plot_ID","Longitude","Latitude","Soil_Horizon","Soil_Horizon_depth_ranges","Soil_depth_horizon_in_cm","C_in_g_per_m_square","N_in_g_per_m_square","CN_ratio_g_per_m_square","empty.F50","wet.F50","dry.F50","ph_stand_ranges","elevation_stand_ranges","slope_stand_ranges","aspect_stand_ranges","mean_annual_precipitation_stand_ranges","mean_annual_temp_stand_ranges","stand_area","mean_height_of_dominant_tree_in_stand","Total_C_in_Mg_per_ha","richness","shannon","evenness"
"1","HOF001","Bad_01_01_FH","BAD_1","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"FH","FH",4.5,362.4369044,13.84291705,26.18211921,13.133,17.162,15.052,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,465,4.65791810584751,0.758366938893965
"2","HOF002","Bad_01_01_1","BAD_2","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"1","0_10",10,2913.463606,182.4038106,15.97260274,13.143,29.515,24.34,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,404,4.19586609162013,0.699146147524063
"3","HOF003","Bad_01_01_2","BAD_3","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"2","10_20",20,2201.044581,164.5998556,13.37209302,13.221,34.129,28.931,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,312,4.00256026341564,0.696945506126789
"4","HOF004","Bad_01_01_3","BAD_4","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"3","20_40",40,2278.161212,160.4338882,14.2,13.249,35.714,30.798,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,259,3.45623424861485,0.621979699612619
"5","HOF005","Bad_01_01_4","BAD_5","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"4","40_80",80,2337.138924,184.95344,12.63636364,13.168,37.306,31.692,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,373,4.16280040148762,0.702988309278866
"6","HOF006","Bad_01_02_FH","BAD_6","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"FH","FH",3.62,481.8614457,18.73892864,25.71446078,13.154,18.577,15.851,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,467,4.31815983740346,0.702559146504493
"7","HOF007","Bad_01_02_1","BAD_7","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"1","0_10",10,2248.483307,140.7712533,15.97260274,13.184,32.711,26.879,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,393,4.38694894925351,0.734363703278584
"8","HOF008","Bad_01_02_2","BAD_8","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"2","10_20",20,1534.48596,110.03097,13.94594595,13.309,35.744,30.578,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,299,3.27448645591937,0.574426606238936
"9","HOF009","Bad_01_02_3","BAD_9","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"3","20_40",40,1651.59531,120.3591724,13.72222222,13.178,38.47,33.461,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,245,3.28479361967415,0.597098607983517
"10","HOF010","Bad_01_02_4","BAD_10","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"4","40_80",80,1549.74587,118.2009562,13.11111111,13.251,41.172,36.05,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,365,3.62563770735671,0.614525556983661
"11","HOF011","Bad_02_01_FH","BAD_11","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"FH","FH",12.12,2476.294454,73.05361412,33.89694656,13.194,25.454,16.934,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,428,3.77936399639892,0.623747673451295
"12","HOF012","Bad_02_01_1","BAD_12","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"1","0_10",10,2226.528649,108.8812186,20.44915254,13.678,30.105,23.409,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,303,3.93816399860528,0.689245390475377
"13","HOF013","Bad_02_01_2","BAD_13","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"2","10_20",20,1400.98809,72.60595213,19.29577465,13.392,34.11,27.254,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,292,3.73225797892666,0.657463421689232
"14","HOF014","Bad_02_01_3","BAD_14","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"3","20_40",40,2535.992304,132.5431518,19.13333333,13.413,38.049,30.907,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,228,3.27754195680777,0.603671635736136
"15","HOF015","Bad_02_01_4","BAD_15","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"4","40_80",80,2874.651844,151.993086,18.91304348,13.552,35.43,29.536,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,268,3.26471967190343,0.583925464910513
"16","HOF016","Bad_02_02_FH","BAD_16","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"FH","FH",4.12,805.6697538,36.18650933,22.26436782,13.493,20.866,16.47,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,473,4.32129175067869,0.701611434489695
"17","HOF017","Bad_02_02_1","BAD_17","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"1","0_10",10,2049.579398,130.3043855,15.72916667,13.538,34.407,28.964,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,363,4.08957164835926,0.693805931380547
"18","HOF018","Bad_02_02_2","BAD_18","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"2","10_20",20,1370.261504,98.79628396,13.86956522,13.572,38.195,33.011,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,256,3.34105974732302,0.602516291097082
"19","HOF019","Bad_02_02_3","BAD_19","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"3","20_40",40,1497.332602,118.6909989,12.61538462,13.428,38.685,33.697,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,366,3.93476994841214,0.666612633067747
"20","HOF020","Bad_02_02_4","BAD_20","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"4","40_80",80,1872.656386,141.6294745,13.22222222,13.527,38.828,33.466,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,384,3.86410252085099,0.649358869517482
"21","HOF021","Bad_03_01_FH","BAD_21","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"FH","FH",4.25,131.384336,6.929656,18.95971979,13.462,20.595,18.042,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,515,4.44534112174733,0.711919010568857
"22","HOF022","Bad_03_01_1","BAD_22","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"1","0_10",10,2729.506165,194.2345211,14.05263158,13.616,32.406,26.981,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,614,5.04300645264752,0.785515644340699
"23","HOF023","Bad_03_01_2","BAD_23","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"2","10_20",20,1923.019056,146.748672,13.10416667,13.406,37.889,31.99,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,518,4.6821198118327,0.749142137423896
"24","HOF024","Bad_03_01_3","BAD_24","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"3","20_40",40,2899.262172,220.8961655,13.125,13.5,39.511,33.741,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,507,4.45826970079356,0.715784189547557
"25","HOF025","Bad_03_01_4","BAD_25","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"4","40_80",80,1438.098129,105.1101623,13.68181818,13.548,38.972,33.304,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,413,4.18451756924302,0.69470473589461
"26","HOF026","Bad_03_02_FH","BAD_26","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"FH","FH",5.43,656.7810773,33.208032,19.77777778,13.606,24.114,19.631,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,647,5.21296384274576,0.805421033663611
"27","HOF027","Bad_03_02_1","BAD_27","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"1","0_10",10,2937.270153,178.273622,16.47619048,13.404,33.307,26.932,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,622,5.17587229986116,0.804588916614214
"28","HOF028","Bad_03_02_2","BAD_28","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"2","10_20",20,2250.798275,157.0324378,14.33333333,13.482,37.195,31.28,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,467,4.35078556291611,0.707867310799784
"29","HOF029","Bad_03_02_3","BAD_29","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"3","20_40",40,3352.423218,245.6230873,13.64864865,13.356,39.751,33.527,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,436,4.34484776855142,0.714890346384921
"30","HOF030","Bad_03_02_4","BAD_30","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"4","40_80",80,1567.99926,127.1350751,12.33333333,13.422,39.034,33.612,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,342,3.77606654228893,0.647161786808855
"31","HOF031","Bad_04_01_FH","BAD_31","Slovakia","Badin","Bad_04_01",19.0517427,48.6871004,"FH","FH",7.62,1789.092561,78.93055418,22.66666667,13.585,21.984,17.677,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,458,4.33198747805801,0.707047489979064
"32","HOF032","Bad_04_01_1","BAD_32","Slovakia","Badin","Bad_04_01",19.0517427,48.6871004,"1","0_10",10,2907.922,216.036658,13.46031746,13.554,34.926,28.264,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,419,4.43906043288188,0.735202936888742
"33","HOF033","Bad_04_01_2","BAD_33","Slovakia","Badin","Bad_04_01",19.0517427,48.6871004,"2","10_20",20,2343.313553,187.4650842,12.5,13.463,37.5,31.543,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,361,4.04212802349471,0.686400372379091
"34","HOF034","Bad_04_01_3","BAD_34","Slovakia","Badin","Bad_04_01",19.0517427,48.6871004,"3","20_40",40,3514.727657,294.3807429,11.93939394,13.615,39.597,33.626,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,376,4.17319594510723,0.703791754232983
"35","HOF035","Bad_04_01_4","BAD_35","Slovakia","Badin","Bad_04_01",19.0517427,48.6871004,"4","40_80",80,3879.494985,315.0858871,12.3125,13.596,43.473,36.049,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,358,3.83098283885432,0.651468641994499
"36","HOF036","Bad_04_02_FH","BAD_36","Slovakia","Badin","Bad_04_02",19.0508924,48.6873289,"FH","FH",5.93,634.2476425,29.5417936,21.46950355,13.391,21.781,17.548,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,553,4.87042529012152,0.771203356792678
"37","HOF037","Bad_04_02_1","BAD_37","Slovakia","Badin","Bad_04_02",19.0508924,48.6873289,"1","0_10",10,2809.471639,158.6812367,17.70512821,13.486,36.115,28.772,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,484,4.95481389547413,0.801479431330826
"38","HOF038","Bad_04_02_2","BAD_38","Slovakia","Badin","Bad_04_02",19.0508924,48.6873289,"2","10_20",20,3241.46046,221.4112336,14.64,13.464,38.684,32.016,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,363,4.38925975191068,0.744648758377253
"39","HOF039","Bad_04_02_3","BAD_39","Slovakia","Badin","Bad_04_02",19.0508924,48.6873289,"3","20_40",40,3828.913766,245.9687644,15.56666667,13.429,41.55,34.857,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,400,4.37062826320318,0.729475778224013
"40","HOF040","Bad_04_02_4","BAD_40","Slovakia","Badin","Bad_04_02",19.0508924,48.6873289,"4","40_80",80,2395.410735,164.2015423,14.58823529,13.69,41.143,35.07,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",377.482,424,4.03743197292992,0.667373530223593
"41","HOF041","Dob_1a_01_FH","DOB_1","Slovakia","Dobroc","Dob_1a_01",19.6764555,48.6789829,"FH","FH",7,1434.72,75.67,18.95921697,13.579,24.94,19.082,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,524,4.8185505396142,0.76955313247161
"42","HOF042","Dob_1a_01_1","DOB_2","Slovakia","Dobroc","Dob_1a_01",19.6764555,48.6789829,"1","0_10",10,3239.38,203.26,15.9375,13.495,33.209,26.646,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,386,4.03860664729627,0.67809216349693
"43","HOF043","Dob_1a_01_2","DOB_3","Slovakia","Dobroc","Dob_1a_01",19.6764555,48.6789829,"2","10_20",20,2160.05,136.66,15.80645161,13.643,35.546,29.804,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,324,3.56809625290304,0.617238291779493
"44","HOF044","Dob_1a_01_3","DOB_4","Slovakia","Dobroc","Dob_1a_01",19.6764555,48.6789829,"3","20_40",40,2450.801289,139.2,17.60606061,13.401,36.688,30.824,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,308,3.68118983925681,0.642430320357614
"45","HOF045","Dob_1a_01_4","DOB_5","Slovakia","Dobroc","Dob_1a_01",19.6764555,48.6789829,"4","40_80",80,3001.8,131.39,22.84615385,13.33,41.637,35.808,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,363,4.12374210168777,0.699603033188702
"46","HOF046","Dob_1a_02_FH","DOB_6","Slovakia","Dobroc","Dob_1a_02",19.0508924,48.6873289,"FH","FH",5.93,238.31,10.84,21.97530864,13.381,25.703,18.937,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,588,4.77026167189954,0.748073692173933
"47","HOF047","Dob_1a_02_1","DOB_7","Slovakia","Dobroc","Dob_1a_02",19.0508924,48.6873289,"1","0_10",10,2863.89,170.4,16.80733945,13.6,31.117,25.175,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,520,4.79184949789119,0.766226521746446
"48","HOF048","Dob_1a_02_2","DOB_8","Slovakia","Dobroc","Dob_1a_02",19.0508924,48.6873289,"2","10_20",20,2913.2,200.69,14.515625,13.727,38.024,31.335,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,437,4.71773458259741,0.775951713812086
"49","HOF049","Dob_1a_02_3","DOB_9","Slovakia","Dobroc","Dob_1a_02",19.0508924,48.6873289,"3","20_40",40,2957.717603,180.97,16.34375,13.463,36.231,30.785,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,433,4.32433646887993,0.712324706259844
"50","HOF050","Dob_1a_02_4","DOB_10","Slovakia","Dobroc","Dob_1a_02",19.0508924,48.6873289,"4","40_80",80,4226.33,182.17,23.2,13.59,42.674,37.201,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",298.084,193,2.73609059245031,0.519903413318668
"51","HOF051","Dob_1b_01_FH","DOB_11","Slovakia","Dobroc","Dob_1b_01",19.6763364,48.6794298,"FH","FH",4.75,1135.26,51.93,21.86219081,13.368,23.253,17.167,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,539,4.87828643507138,0.775597303260306
"52","HOF052","Dob_1b_01_1","DOB_12","Slovakia","Dobroc","Dob_1b_01",19.6763364,48.6794298,"1","0_10",10,4349.04,302.15,14.39344262,13.526,31.454,25.086,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,332,4.11880841886782,0.709511224273324
"53","HOF053","Dob_1b_01_2","DOB_13","Slovakia","Dobroc","Dob_1b_01",19.6763364,48.6794298,"2","10_20",20,2244.89,153.45,14.62962963,13.661,38.461,32.032,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,251,3.29280342073165,0.5959336649873
"54","HOF054","Dob_1b_01_3","DOB_14","Slovakia","Dobroc","Dob_1b_01",19.6763364,48.6794298,"3","20_40",40,2692.354181,152.18,17.69230769,13.688,37.629,31.776,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,262,3.55722027491581,0.638829058172158
"55","HOF055","Dob_1b_01_4","DOB_15","Slovakia","Dobroc","Dob_1b_01",19.6763364,48.6794298,"4","40_80",80,4496.01,227.65,19.75,13.532,40.662,35.353,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,266,3.64886809392044,0.653509538133216
"56","HOF056","Dob_1b_02_FH","DOB_16","Slovakia","Dobroc","Dob_1b_02",19.6767481,48.6796817,"FH","FH",5.5,1208.73,66.03,18.30573248,13.522,25.46,20.164,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,551,4.87600011976795,0.772529307267006
"57","HOF057","Dob_1b_02_1","DOB_17","Slovakia","Dobroc","Dob_1b_02",19.6767481,48.6796817,"1","0_10",10,5171.03,366.65,14.10344828,13.491,32.668,27.049,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,403,4.1783971769462,0.696522980998201
"58","HOF058","Dob_1b_02_2","DOB_18","Slovakia","Dobroc","Dob_1b_02",19.6767481,48.6796817,"2","10_20",20,2402.66,169.73,14.15555556,13.465,36.795,30.788,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,352,3.74447331676599,0.638592913611086
"59","HOF059","Dob_1b_02_3","DOB_19","Slovakia","Dobroc","Dob_1b_02",19.6767481,48.6796817,"3","20_40",40,2706.720948,151.17,17.9047619,13.639,39.519,34.124,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,225,3.78863127612629,0.699512748062107
"60","HOF060","Dob_1b_02_4","DOB_20","Slovakia","Dobroc","Dob_1b_02",19.6767481,48.6796817,"4","40_80",80,2492.84,112.04,22.25,13.535,40.223,35.019,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",330.576,272,4.16636197845595,0.743223169349048
"61","HOF061","Dob_2a_01_FH","DOB_21","Slovakia","Dobroc","Dob_2a_01",19.6786143,48.6799027,"FH","FH",5.62,818.3,43.62,18.76106195,13.688,24.479,20.441,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,498,4.53016258452579,0.729424295292265
"62","HOF062","Dob_2a_01_1","DOB_22","Slovakia","Dobroc","Dob_2a_01",19.6786143,48.6799027,"1","0_10",10,2230.32,167.63,13.30487805,13.372,35.474,29.178,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,341,3.98853609666672,0.683919148268669
"63","HOF063","Dob_2a_01_2","DOB_23","Slovakia","Dobroc","Dob_2a_01",19.6786143,48.6799027,"2","10_20",20,1798.91,142.92,12.58695652,13.539,37.721,31.692,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,278,3.46593361612947,0.615878991515207
"64","HOF064","Dob_2a_01_3","DOB_24","Slovakia","Dobroc","Dob_2a_01",19.6786143,48.6799027,"3","20_40",40,2014.053211,144.31,13.95652174,13.468,37.965,32.702,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,269,3.01386374803787,0.538698700173583
"65","HOF065","Dob_2a_01_4","DOB_25","Slovakia","Dobroc","Dob_2a_01",19.6786143,48.6799027,"4","40_80",80,2614.8,165.14,15.83333333,13.728,40.99,35.762,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,399,4.18189873971709,0.698267771090233
"66","HOF066","Dob_2a_02_FH","DOB_26","Slovakia","Dobroc","Dob_2a_02",19.6787633,48.6799636,"FH","FH",4.5,605.8,26.92,22.50282486,13.419,22.256,17.446,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,614,4.90493201782313,0.764008706037831
"67","HOF067","Dob_2a_02_1","DOB_27","Slovakia","Dobroc","Dob_2a_02",19.6787633,48.6799636,"1","0_10",10,2871.02,170.94,16.79518072,13.553,34.251,27.072,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,501,4.29738984245444,0.691275878280996
"68","HOF068","Dob_2a_02_2","DOB_28","Slovakia","Dobroc","Dob_2a_02",19.6787633,48.6799636,"2","10_20",20,1143.44,78.96,14.48148148,13.443,35.95,29.579,"3.78-5.89","720-1000","30-50","W","890-960","4.5-5",101.82,"38",309.922,386,3.5715846985151,0.599678009481315
